datetime,OBM
2024-07-18,68.5
2024-07-19,70.48
2024-07-20,74.0
2024-07-21,70.78
2024-07-22,67.4
2024-07-23,67.63
2024-07-24,67.0
2024-07-25,61.94
2024-07-26,66.8
2024-07-27,65.18
2024-07-28,64.48
2024-07-29,62.5
2024-07-30,70.86
2024-07-31,71.76
