id,type,prop_siteid,prop_title,prop_state,latitude,longitude,geometry_type,geometry_coordinates_raw,prop_description,prop_elevation,prop_elevationUnits,prop_install,prop_program,prop_responsibility,prop_type,prop_url,Nearest_City_1,Distance_City_1_mi,Nearest_City_2,Distance_City_2_mi,county_name,county_state,county_fips
105,Feature,hero,"Hermiston, Oregon AgriMet Weather Station",OR,45.822872,-119.518478,Point,"[-119.518478, 45.822872]","Hermiston, Oregon AgriMet Weather Station",167.64,m,5/17/1983,agrimet,pnro,agrimet,heroda.html,"Irrigon, OR",4.51,"Boardman, OR",9.77,Morrow,OR,41049
106,Feature,hmpo,"Hampton, Oregon AgriMet Weather Station",OR,43.69826,-120.3147279,Point,"[-120.3147279, 43.69826]","Hampton, Oregon AgriMet Weather Station",4429.0,,4/18/24,agrimet,pnro,agrimet,hmpoda.html,"Brothers, OR",9.83,"Post, OR",26.42,Deschutes,OR,41017
108,Feature,hoxo,"Hood River, Oregon AgriMet Weather Station",OR,45.68444,-121.51805,Point,"[-121.51805, 45.68444]","Hood River, Oregon AgriMet Weather Station",155.45,m,5/19/1987,agrimet,pnro,agrimet,hoxoda.html,"Hood River, OR",1.38,"White Salmon, WA",5.23,Hood River,OR,41027
109,Feature,hrfo,"Hereford, Oregon AgriMet Weather Station",OR,44.487833,-118.02873,Point,"[-118.02873, 44.487833]","Hereford, Oregon AgriMet Weather Station",1097.28,m,4/28/1998,agrimet,pnro,agrimet,hrfoda.html,"Unity, OR",7.13,"Hereford, OR",10.78,Baker,OR,41001
110,Feature,hrhw,"Harrah, Washington AgriMet Weather Station",WA,46.383616,-120.572807,Point,"[-120.572807, 46.383616]","Harrah, Washington AgriMet Weather Station",259.08,m,5/27/1987,agrimet,pnro,agrimet,hrhwda.html,"Harrah, WA",1.84,"Brownstown, WA",2.14,Yakima,WA,53077
112,Feature,hrmo,"Hermiston R & E Center, Oregon AgriMet Weather Station",OR,45.818441,-119.284729,Point,"[-119.284729, 45.818441]","Hermiston R & E Center, Oregon AgriMet Weather Station",185.01,m,7/15/1993,agrimet,pnro,agrimet,hrmoda.html,"Hermiston, OR",1.83,"Stanfield, OR",4.18,Umatilla,OR,41059
114,Feature,huan,"DRI - Hualapai Flat, Nevada Weather Station",NV,40.901111,-119.333056,Point,"[-119.333056, 40.901111]","DRI - Hualapai Flat, Nevada Weather Station",1235.964,m,10/12/2012,agrimet,dri,agrimet,huanda.html,"Gerlach, NV",15.93,"Empire, NV",41.38,Washoe,NV,32031
120,Feature,imbo,"Imbler, Oregon AgriMet Weather Station",OR,45.431802,-117.972218,Point,"[-117.972218, 45.431802]","Imbler, Oregon AgriMet Weather Station",838.2,m,4/5/1994,agrimet,pnro,agrimet,imboda.html,"Imbler, OR",2.13,"Summerville, OR",5.88,Union,OR,41061
121,Feature,iyci,"Idaho Youth Challenge Academy - Pierce, ID AgriMet Weather Station",ID,46.497433,-115.797939,Point,"[-115.797939, 46.497433]","Idaho Youth Challenge Academy - Pierce, ID AgriMet Weather Station",980.0,,4/20/2019,agrimet,pnro,agrimet,iycida.html,"Pierce, ID",0.56,"Weippe, ID",10.49,Clearwater,ID,16035
123,Feature,jnvo,"Jordan Valley, Oregon AgriMet Weather Station",OR,42.973633,-117.120347,Point,"[-117.120347, 42.973633]","Jordan Valley, Oregon AgriMet Weather Station",4350.0,,12/27/2023,agrimet,pnro,agrimet,jnvoda.html,"Jordan Valley, OR",10.38,"Murphy, ID",30.57,Malheur,OR,41045
125,Feature,kflo,"Klamath Falls, Oregon AgriMet Weather Station",OR,42.16297,-121.753612,Point,"[-121.753612, 42.16297]","Klamath Falls, Oregon AgriMet Weather Station",1249.68,m,3/30/1999,agrimet,pnro,agrimet,kfloda.html,"Midland, OR",4.02,"Klamath Falls, OR",4.93,Klamath,OR,41035
128,Feature,lako,"Lakeview, Oregon AgriMet Weather Station",OR,42.122475,-120.522926,Point,"[-120.522926, 42.122475]","Lakeview, Oregon AgriMet Weather Station",1453.9,m,4/19/1988,agrimet,pnro,agrimet,lakoda.html,"Lakeview, OR",8.61,"New Pine Creek, OR",13.62,Lake,OR,41037
130,Feature,lbno,"Lebanon, Oregon Weather Station",OR,44.5642853,-122.8938717,Point,"[-122.8938717, 44.5642853]","Lebanon, Oregon Weather Station",102.0,,2/23/2024,agrimet,,agrimet,lbnoda.html,"Lebanon, OR",2.34,"Crabtree, OR",4.92,Linn,OR,41043
