id,type,prop_siteid,prop_title,prop_state,latitude,longitude,geometry_type,geometry_coordinates_raw,prop_description,prop_elevation,prop_elevationUnits,prop_install,prop_program,prop_responsibility,prop_type,prop_url,Nearest_City_1,Distance_City_1_mi,Nearest_City_2,Distance_City_2_mi,county_name,county_state,county_fips
221,Feature,scpo,"Scappoose, Oregon Weather Station",OR,45.75389,-122.855,Point,"[-122.855, 45.75389]","Scappoose, Oregon Weather Station",3.0,,2/21/2024,agrimet,pnro,agrimet,scpoda.html,"Scappoose, OR",1.99,"Warren, OR",5.0,Columbia,OR,41009
225,Feature,silw,"Silcott Island, Washington AgriMet Weather Station",WA,46.41861,-117.18472,Point,"[-117.18472, 46.41861]","Silcott Island, Washington AgriMet Weather Station",251.46,m,7/18/2002,agrimet,pnro,agrimet,silwda.html,"Clarkston, WA",5.99,"Uniontown, WA",8.65,Asotin,WA,53003
230,Feature,snco,"Seneca, Oregon AgriMet Weather Station",OR,44.148316,-118.979167,Point,"[-118.979167, 44.148316]","Seneca, Oregon AgriMet Weather Station",4672.0,,12/29/2023,agrimet,pnro,agrimet,sncoda.html,"Seneca, OR",4.15,"Canyon City, OR",18.18,Grant,OR,41023
240,Feature,subo,"Sublimity, Oregon Weather Station",OR,44.8740702,-122.7421764,Point,"[-122.7421764, 44.8740702]","Sublimity, Oregon Weather Station",248.0,,2/22/2024,agrimet,pnro,agrimet,suboda.html,"Sublimity, OR",3.61,"Stayton, OR",5.08,Marion,OR,41047
248,Feature,tlkc,"Tulelake, California AgriMet Weather Station",CA,41.86409,-121.51496,Point,"[-121.51496, 41.86409]","Tulelake, California AgriMet Weather Station",1223.0,,12/21/2016,agrimet,pnro,agrimet,tlkcda.html,"Tulelake, CA",6.24,"Malin, OR",11.8,Siskiyou,CA,06093
249,Feature,tlmo,"Tillamook, Oregon Weather Station",OR,45.4405,-123.7605,Point,"[-123.7605, 45.4405]","Tillamook, Oregon Weather Station",21.0,,2/20/23,agrimet,pnro,agrimet,tlmoda.html,"Tillamook, OR",2.9,"Bay City, OR",7.84,Tillamook,OR,41057
250,Feature,tmlo,"Tumalo, Oregon AgriMet Weather Station",OR,44.158243,-121.3987944,Point,"[-121.3987944, 44.158243]","Tumalo, Oregon AgriMet Weather Station",3451.0,,3/21/2024,agrimet,pnro,agrimet,tmloda.html,"Bend, OR",6.91,"Sisters, OR",12.05,Deschutes,OR,41017
258,Feature,twko,"Twickenham, Oregon AgriMet Weather Station",OR,44.74763,-120.17757,Point,"[-120.17757, 44.74763]","Twickenham, Oregon AgriMet Weather Station",1570.0,,10/11/2022,agrimet,pnro,agrimet,twkoda.html,"Mitchell, OR",12.68,"Fossil, OR",16.5,Wheeler,OR,41069
262,Feature,wdho,"Woodhall Vinyard near Monroe, Oregon AgriMet Weather Station",OR,44.3385,-123.408127,Point,"[-123.408127, 44.3385]","Woodhall Vinyard near Monroe, Oregon AgriMet Weather Station",191.0,,10/29/2020,agrimet,pnro,agrimet,wdhoda.html,"Monroe, OR",4.45,"Alsea, OR",10.14,Benton,OR,41003
263,Feature,wrdo,"Worden, Oregon AgriMet Weather Station",OR,42.0125,-121.7875,Point,"[-121.7875, 42.0125]","Worden, Oregon AgriMet Weather Station",1243.58,m,4/19/2000,agrimet,pnro,agrimet,wrdoda.html,"Dorris, CA",7.32,"Midland, OR",8.38,Klamath,OR,41035
265,Feature,wwco,"Wallowa County, Oregon AgriMet Weather Station",OR,45.3925,-117.22272,Point,"[-117.22272, 45.3925]","Wallowa County, Oregon AgriMet Weather Station",3943.0,,06/09/2022,agrimet,pnro,agrimet,wwcoda.html,"Joseph, OR",3.01,"Enterprise, OR",4.45,Wallowa,OR,41063
