datetime,24_HR_PCP
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,4.57
2021-05-23,0.0
2021-05-24,2.54
2021-05-25,5.59
2021-05-26,57.66
2021-05-27,0.0
2021-05-28,0.0
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,56.64
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,56.39
2021-06-05,55.88
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,0.0
2021-06-10,4.32
2021-06-11,0.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,59.94
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,59.18
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,58.42
2021-07-02,0.0
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,0.0
2021-07-06,58.17
2021-07-07,57.4
2021-07-08,0.0
2021-07-09,0.0
2021-07-10,0.0
2021-07-11,0.0
2021-07-12,0.0
2021-07-13,56.64
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,0.0
2021-07-20,0.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-24,55.88
2021-07-25,0.0
2021-07-26,0.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,0.0
2021-07-31,13.21
2021-08-01,8.38
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,1.02
2021-08-05,0.0
2021-08-06,0.0
2021-08-07,0.0
2021-08-08,78.23
2021-08-09,0.25
2021-08-10,0.0
2021-08-11,78.23
2021-08-12,0.0
2021-08-13,0.0
2021-08-14,77.98
2021-08-15,77.47
2021-08-16,0.0
2021-08-17,0.25
2021-08-18,0.0
2021-08-19,0.0
2021-08-20,0.0
2021-08-21,0.0
2021-08-22,0.0
2021-08-23,0.0
2021-08-24,0.0
2021-08-25,0.0
2021-08-26,0.0
2021-08-27,0.0
2021-08-28,0.0
2021-08-29,0.0
2021-08-30,0.0
2021-08-31,77.22
2021-09-01,0.0
2021-09-02,76.71
2021-09-03,0.0
2021-09-04,0.25
2021-09-05,76.71
2021-09-06,0.0
2021-09-07,0.0
2021-09-08,0.0
2021-09-09,0.0
2021-09-10,4.32
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,0.0
2021-09-28,2.54
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,83.31
2021-10-10,2.29
2021-10-11,85.34
2021-10-12,0.0
2021-10-13,0.25
2021-10-14,85.34
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,6.6
2021-10-23,0.0
2021-10-24,11.68
2021-10-25,1.78
2021-10-26,1.02
2021-10-27,106.17
2021-10-28,0.0
2021-10-29,1.78
2021-10-30,0.0
2021-10-31,0.76
2021-11-01,1.78
2021-11-02,0.51
2021-11-03,0.0
2021-11-04,0.25
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.25
2021-11-08,0.0
2021-11-09,8.38
2021-11-10,0.0
2021-11-11,0.76
2021-11-12,0.76
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,1.78
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2021-12-01,0.0
2021-12-02,0.0
2021-12-03,0.0
2021-12-04,0.0
2021-12-05,0.0
2021-12-06,9.14
2021-12-07,0.25
2021-12-08,132.33
2021-12-09,0.25
2021-12-10,0.0
2021-12-11,0.76
2021-12-12,4.83
2021-12-13,0.76
2021-12-14,4.32
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.25
2021-12-18,0.0
2021-12-19,0.51
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,2.29
2021-12-24,0.0
2021-12-25,2.03
2021-12-26,0.0
2021-12-27,0.25
2021-12-28,0.0
2021-12-29,6.86
2021-12-30,1.52
2021-12-31,0.0
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,3.81
2022-01-04,4.83
2022-01-05,3.56
2022-01-06,0.76
2022-01-07,1.52
2022-01-08,0.25
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,171.7
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,6.1
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
