datetime,AVG_TMP
2016-03-29,48.08
2016-03-30,53.56
2016-03-31,56.43
2016-04-01,56.27
2016-04-02,55.05
2016-04-03,54.83
2016-04-04,50.91
2016-04-05,48.67
2016-04-06,53.37
2016-04-07,62.5
2016-04-08,60.7
2016-04-09,55.76
2016-04-10,52.81
2016-04-11,53.88
2016-04-12,52.57
2016-04-13,53.31
2016-04-14,48.94
2016-04-15,51.41
2016-04-16,52.56
2016-04-17,61.14
2016-04-18,65.52
2016-04-19,63.8
2016-04-20,61.46
2016-04-21,58.39
2016-04-22,56.68
2016-04-23,50.69
2016-04-24,48.32
2016-04-25,48.13
2016-04-26,44.95
2016-04-27,53.15
2016-04-28,52.5
2016-04-29,52.9
2016-04-30,50.28
2016-05-01,63.41
2016-05-02,65.42
2016-05-03,58.94
2016-05-04,56.4
2016-05-05,60.0
2016-05-06,62.68
2016-05-07,67.17
2016-05-08,55.41
2016-05-09,52.66
2016-05-10,59.96
2016-05-11,66.04
2016-05-12,62.22
2016-05-13,61.9
2016-05-14,54.6
2016-05-15,57.58
2016-05-16,57.06
2016-05-17,60.58
2016-05-18,60.98
2016-05-19,54.71
2016-05-20,54.57
2016-05-21,55.42
2016-05-22,53.86
2016-05-23,54.86
2016-05-24,55.65
2016-05-25,57.33
2016-05-26,55.1
2016-05-27,54.76
2016-05-28,55.3
2016-05-29,57.22
2016-05-30,60.36
2016-05-31,66.68
2016-06-01,65.46
2016-06-02,62.89
2016-06-03,68.04
2016-06-04,78.06
2016-06-05,76.58
2016-06-06,72.78
2016-06-07,70.18
2016-06-08,62.1
2016-06-09,56.28
2016-06-10,54.6
2016-06-11,58.02
2016-06-12,61.44
2016-06-13,54.66
2016-06-14,54.34
2016-06-15,53.52
2016-06-16,54.03
2016-06-17,60.14
2016-06-18,58.44
2016-06-19,59.44
2016-06-20,61.95
2016-06-21,60.09
2016-06-22,62.28
2016-06-23,59.34
2016-06-24,60.42
2016-06-25,65.11
2016-06-26,70.65
2016-06-27,69.44
2016-06-28,66.42
2016-06-29,65.39
2016-06-30,65.2
2016-07-01,66.17
2016-07-02,70.74
2016-07-03,64.54
2016-07-04,61.18
2016-07-05,63.28
2016-07-06,65.67
2016-07-07,61.56
2016-07-08,66.44
2016-07-09,63.64
