datetime,AVG_TMP
2016-01-21,52.45
2016-01-22,48.58
2016-01-23,44.28
2016-01-24,41.98
2016-01-25,44.5
2016-01-26,46.29
2016-01-27,49.7
2016-01-28,49.82
2016-01-29,44.24
2016-01-30,40.5
2016-01-31,37.77
2016-02-01,36.62
2016-02-02,37.87
2016-02-03,38.98
2016-02-04,41.32
2016-02-05,41.2
2016-02-06,50.77
2016-02-07,50.59
2016-02-08,55.74
2016-02-09,51.4
2016-02-10,48.73
2016-02-11,55.03
2016-02-12,50.86
2016-02-13,42.74
2016-02-14,50.73
2016-02-15,51.7
2016-02-16,47.58
2016-02-17,51.26
2016-02-18,43.92
2016-02-19,41.65
2016-02-20,43.64
2016-02-21,38.14
2016-02-22,43.58
2016-02-23,42.98
2016-02-24,52.27
2016-02-25,51.8
2016-02-26,45.34
2016-02-27,47.16
2016-02-28,46.28
2016-02-29,40.89
2016-03-01,49.72
2016-03-02,51.34
2016-03-03,52.0
2016-03-04,47.7
2016-03-05,51.61
2016-03-06,45.58
2016-03-07,43.38
2016-03-08,36.98
2016-03-09,52.97
2016-03-10,50.85
2016-03-11,49.62
2016-03-12,45.31
2016-03-13,45.3
2016-03-14,43.62
2016-03-15,44.16
2016-03-16,53.36
2016-03-17,53.66
2016-03-18,54.77
2016-03-19,58.99
2016-03-20,50.5
2016-03-21,45.06
2016-03-22,45.5
2016-03-23,46.03
2016-03-24,51.98
2016-03-25,48.93
2016-03-26,43.84
2016-03-27,47.22
2016-03-28,44.72
2016-03-29,46.18
2016-03-30,50.2
2016-03-31,54.83
2016-04-01,58.52
2016-04-02,59.3
2016-04-03,57.48
2016-04-04,50.88
2016-04-05,53.13
2016-04-06,63.16
2016-04-07,66.2
2016-04-08,65.07
2016-04-09,62.36
2016-04-10,60.28
2016-04-11,57.89
2016-04-12,56.2
2016-04-13,52.94
2016-04-14,41.7
2016-04-15,49.8
2016-04-16,55.6
2016-04-17,63.32
2016-04-18,65.37
2016-04-19,65.47
2016-04-20,65.7
2016-04-21,59.44
2016-04-22,52.76
2016-04-23,52.14
2016-04-24,47.89
2016-04-25,48.18
2016-04-26,44.6
2016-04-27,52.7
2016-04-28,55.59
