OPENET_ID,ACRES_FTR_GEOM,GRIDMET_ID,HUC8,HUC8_name,HUC12,HUC12_name,IRR_EFF,ITYPE,OWRD,Region,srctype,per_IRRIGATED_85,per_IRRIGATED_86,per_IRRIGATED_87,per_IRRIGATED_88,per_IRRIGATED_89,per_IRRIGATED_90,per_IRRIGATED_91,per_IRRIGATED_92,per_IRRIGATED_93,per_IRRIGATED_94,per_IRRIGATED_95,per_IRRIGATED_96,per_IRRIGATED_97,per_IRRIGATED_98,per_IRRIGATED_99,per_IRRIGATED_00,per_IRRIGATED_01,per_IRRIGATED_02,per_IRRIGATED_03,per_IRRIGATED_04,per_IRRIGATED_05,per_IRRIGATED_06,per_IRRIGATED_07,per_IRRIGATED_08,per_IRRIGATED_09,per_IRRIGATED_10,per_IRRIGATED_11,per_IRRIGATED_12,per_IRRIGATED_13,per_IRRIGATED_14,per_IRRIGATED_15,per_IRRIGATED_16,per_IRRIGATED_17,per_IRRIGATED_18,per_IRRIGATED_19,per_IRRIGATED_20,per_IRRIGATED_21,per_IRRIGATED_22,per_IRRIGATED_23,per_IRRIGATED_24
ORx_158760,126.6734931,573878,18010204,Lost,180102040802,Grizzly Butte,0.85,1.0,14,18.0,1.0,98.5838376,92.84004227242006,80.04881116041595,81.8367923338866,94.25869977878148,77.19825864177274,80.56436099277721,77.67314644353077,98.86828864577262,80.6735555789707,98.9490523624508,87.75790192811101,95.110986884427,95.03938703590508,86.7400477698185,83.40633094918807,82.61851190867165,86.31888194978346,82.81050939831233,88.08396246949387,92.58446799208868,85.50065906158825,80.7995345215589,99.47985878483686,99.40061937904136,99.47985878483686,99.47985878483686,99.47985878483686,99.24418000516636,99.41077763469896,99.34627025971406,99.260933652217,99.41535145217784,99.28176892732908,99.35491400182686,99.40518845,97.94077653,95.55957613373448,99.4681805825924,97.9651913440623
ORx_158761,71.74808039,575264,18010204,Lost,180102040802,Grizzly Butte,0.85,1.0,14,18.0,3.0,98.51138802,98.93734790291607,98.3571475030178,99.6233493918254,99.6233493918254,99.50049683760244,99.6233493918254,98.2827208555306,98.19752501207878,99.2108517645074,99.39468222885564,98.52485027559806,98.2827208555306,99.8977671957026,99.6233493918254,99.6233493918254,99.6233493918254,99.6233493918254,98.52485027559806,99.6233493918254,98.75351743856784,99.6233493918254,98.93734790291607,98.7086807399463,99.6233493918254,98.2827208555306,98.52485027559806,98.21097374944075,99.6233493918254,99.85651499411652,98.52036626490224,99.95067741220068,99.99461960461608,99.95067741220068,31.33859913497879,99.39468223,99.8977672,99.85203098342068,99.85651499411652,99.8385790800926
ORx_158762,113.0813753,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,90.51504962,89.56302461008214,69.1010352517862,0.4255941363134156,36.352735638612025,8.808205045110885,3.23295298437737,0.0375524237923601,46.34846245537991,0.9075169083153714,40.16040881382331,12.3197595322607,19.51535261176933,86.351563321173,86.86308267422675,99.5732350975154,99.84693602251356,99.84067665150384,99.60908952011512,99.84693602251356,99.88676737439395,99.84693602251356,99.88676737439395,99.85205730444362,99.5851811850934,99.6204701730549,99.6637150930187,99.39171769173844,99.891888656324,99.891888656324,99.50154872380324,99.85661076428232,99.78434393322568,99.81677944469672,99.73200075413628,33.25450068,99.48162584,99.80312248927603,99.81677939966087,96.3133639798384
ORx_158763,138.0982664,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,82.24801206,34.47080646001774,24.328031220272432,18.484866170460705,67.86567596258764,52.95877742568168,24.787328519720862,19.43520225775733,73.25128712942619,34.25302491204085,81.9353278106113,73.96724706599487,96.4119958711003,97.0958433563419,97.56401901793896,98.16683289785362,98.43749679138512,97.80114511345354,97.91340903446374,98.29867664885136,95.31074542057134,98.30472744630336,98.54417992686524,98.78270205915425,98.76779486378496,99.00538528075047,98.20363321210976,98.1999063744196,98.6639068506715,98.38951994522454,98.6387526947138,98.63223037565582,98.16916156723308,98.60847174867828,96.86250490039664,98.16452757,98.31081227,98.41932407226524,99.0584900584794,98.45893552257957
ORx_158764,17.79437253,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,28.07886354,18.20079761685764,0.9223298531074622,2.611475661722676,24.639081694536568,0.0,1.396159233616037,0.0,31.232817160144915,1.0633914703145673,36.20634031405635,4.524852975117516,12.33397547284074,2.8140086475195254,4.242728289831407,4.427198933787644,0.7234065316778889,10.06612505042757,3.9461294083508687,3.291474021902236,14.189542244337932,6.825240485369822,5.573844152070424,37.44702842788515,9.234317741118414,76.77127513800075,98.70511485726942,90.05679877960019,96.77365337786614,98.36150467648297,98.70511485726942,98.70511487096536,97.15703141657504,98.08297861022344,98.1516982563694,96.86040063,96.86040063,69.94976307468117,95.64872112619577,87.43077860784925
ORx_158765,209.5081995,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,100.0,100.0,11.024060825395962,1.2758341499909769,56.37569391271733,8.442766406176942,0.7574045432127858,0.0,79.08266342603773,0.0,87.07782950281542,15.966498949148376,54.08380580335693,4.833763507005361,10.509735124849117,99.8092677316745,99.8550389978362,99.99815729438562,96.61054337242172,99.99232203530222,99.99232203530222,99.7481598327501,99.65479432973984,100.0,97.3497152938862,99.95484980669816,100.0,99.870691639876,100.0,99.98494945836956,99.94716984114665,99.97112899897304,94.04954354088817,99.54668095215938,93.14598921874754,99.38044932,99.83690847,29.084778929953043,99.76533386750324,95.25758337459015
ORx_158766,207.5254237,573879,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.5,3.0,14,18.0,1.0,71.99247293,74.60594367279364,7.692759057678229,0.1417058987623416,22.298923242375523,0.4055626496966712,0.1407512965663926,0.0,18.077394303445875,0.0,19.499008928822,14.55724420007066,17.459695507806163,7.069799359713079,15.097650175414024,16.210460523111895,70.72502742393229,74.39697132057478,37.161266099045335,59.164471986245374,59.24380334557484,22.53890972284013,20.73368469220065,19.51574480982772,2.1536409010348123,8.203243943905088,20.11601640512996,3.937347244115916,9.400257257422004,8.361051516602524,5.576749578416589,13.023045550803102,9.767598844200368,6.995074389282611,12.17309147916867,9.00682542,4.743686336,1.0451340959946294,5.737471773634251,0.0282122642897393
ORx_158767,133.5447748,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,97.44040482,1.6687315721378553,60.06990327893645,0.3589975211161604,35.1048023065596,44.39391262595574,9.514051701626933,0.0,43.765264398628666,0.0,42.41655342762165,9.443192468215235,36.367853994310416,88.74968853509061,88.84269635218544,98.3520673779367,99.77931270277094,98.89704036348,99.61933563762328,99.78750076965127,99.8294213871624,99.72485970857169,99.7397993203783,99.8294213871624,99.9055572762862,99.9055572762862,99.9055572762862,99.74413370625082,99.77690340881226,99.81785644007336,99.32923164270302,99.81882217522144,98.45992429191172,49.18673088130642,99.7971407040348,99.79328611,99.8009956,99.9315724372103,99.911815431695,82.15496289104384
ORx_158768,142.3016643,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,99.42963955,68.59768860924466,33.0578606619446,61.307216014351695,95.79004676128868,59.27889927203031,57.367040467326014,42.916155976632425,94.9220630264506,58.22454037809696,63.80000586080654,96.53959361427864,99.41471582409842,99.5960909809942,99.5617174702624,99.557194470657,91.96721462542,99.5395512441212,99.24376487528576,99.59518644828913,99.59970944789453,99.59970944789453,99.41020637080278,99.3776423073901,99.35955023831534,99.25507581338915,99.14110180531384,98.02079242910418,99.556740218378,99.3075398178214,99.02936518140176,99.1003808131729,98.73992690723736,91.5725429411442,98.9524967427777,99.1501487,98.49660066,98.25368110644462,99.39618341759648,51.93877659879483
ORx_158769,82.63623679,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.85,1.0,14,18.0,1.0,97.16208364,95.97289317358944,96.3513718082452,97.50321521912008,98.20722975356168,98.20489323812669,98.04991681312188,97.42533335727924,97.7018039388649,97.89260273172256,98.21969441124996,97.7018039388649,98.04991681312188,98.05225332855689,98.37233432081972,97.7018039388649,97.35057381347944,98.37467083625472,97.67299281724812,97.7041404542999,97.7041404542999,97.15198593219188,97.50788789487876,97.7018039388649,96.76882729925042,97.15198593219188,97.11071129384638,96.72521565883586,96.70261010447922,97.79136250539165,98.02966938995814,97.81238912786236,97.85365750280526,98.43307432899196,96.13333624722546,99.10127116,98.32560983,98.8691783987234,98.82556675830884,98.52804870046748
ORx_158770,99.64605054,573878,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.5,3.0,14,18.0,0.0,0.823256442,0.0,0.0,0.0,0.1646514274672006,0.0,0.0,0.0,1.8111365027229769,0.0,0.4939473301596422,0.0,0.0,0.0,1.152552344804249,0.0,0.0,0.1646514274672006,0.0,0.0,0.0,0.0,0.0,0.9878946603192846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7869105289872897,4.116210602929063,5.762766590356941,17.90373425,17.61768188,24.32490563244841,25.961680833188904,5.874616864466002
ORx_158771,108.6807317,573879,18010204,Lost,180102040803,Brookside Creek-Frontal Swan Lake,0.5,3.0,14,18.0,1.0,92.49774057,50.67068702173073,93.99549821786806,88.61066170520515,89.11508038455298,63.12845516660946,93.80483605729547,44.24177087074718,7.363144506485223,85.36975996167612,50.75506047430052,76.79456818675233,85.0414553560723,90.48660742848604,78.65668264527191,94.01856967062298,12.688051432777923,61.56819981008654,7.827270040297539,9.156914784228686,34.27276679282255,7.211006561656581,7.211006561656581,7.211006561656581,0.0,0.1509513680403494,7.212190588936616,0.0,0.0603802922653139,0.0,0.0,3.96573977901757,8.083029229019855,1.247268545126621,1.6427130105621903,0.326763782,0.0,3.635577356685241,0.0603802922653143,0.443380773595299
