OPENET_ID,Acres,ACRES_FTR_GEOM,HUC8_name,HUC8,GRIDMET_ID,HUC12_name,HUC12,OWRD,Region,ITYPE,srctype,IRR_EFF
ORx_158798,77.09218285532576,76.99620004,Lost,18010204,573879,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,0.0,0.5
ORx_158795,117.912734272195,117.7178977,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158797,87.42723163759116,87.30767131,Lost,18010204,573879,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,1.0,0.5
ORx_158796,12.621163203724967,12.5990995,Lost,18010204,573879,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158812,125.40471838569876,125.2003095,Lost,18010204,572493,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158813,126.99731319719363,126.7795038,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158814,127.45398749733032,127.2635544,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158815,101.03427107818406,100.8785912,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,1.0,0.85
ORx_158816,120.37795567558473,120.1748243,Lost,18010204,572493,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158817,127.04150485286162,126.8520561,Lost,18010204,572493,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158818,74.12325392889107,74.00957057,Lost,18010204,572493,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158819,44.75606489719898,44.70989767,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,4.0,1.0,0.65
ORx_158820,69.6267238616453,69.48905852,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,2.0,1.0,0.75
ORx_158821,89.98106588845604,89.88301422,Lost,18010204,572493,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,2.0,1.0,0.75
ORx_158822,182.08453986901225,181.7940412,Lost,18010204,572492,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,2.0,1.0,0.75
